family_id,area,noun,modifier,uom,price_min_sar,price_max_sar,lead_min_days,lead_max_days,profile,variant_weight,crit_bias,manufacturers,size_token_type,equipment_type,shutdown_demand_mult,mtbf_years,multi_store_share,in_scope,material_group
SM-CRUCIBLE,SMELTER,CRUCIBLE,METAL TRANSFER,EA,26000,52000,180,300,insurance,16,A,Hencon|Outotec,none,CAST_HOUSE,3,18.0,0.0,1,SMELT-HANDLING
SM-TAP-TUBE,SMELTER,TUBE,TAPPING,EA,380,900,45,90,consumable,8,B,Hencon|generic,dn,CAST_HOUSE,4,,0.1,1,SMELT-HANDLING
SM-BUSBAR-FLEX,SMELTER,BUSBAR,FLEXIBLE ALUMINIUM,EA,1900,4400,90,180,occasional,23,A,ABB|Siemens,od_mm,POT,8,,0.05,1,ELEC-POWER
SM-BUSBAR-CLAMP,SMELTER,CLAMP,BUSBAR,EA,140,420,30,70,occasional,28,B,ABB|generic,od_mm,POT,6,,0.2,1,ELEC-POWER
SM-CRUST-BREAKER,SMELTER,CYLINDER,CRUST BREAKER PNEUMATIC,EA,1600,3400,60,120,occasional,26,A,Festo|SMC|Parker,od_mm,POT,7,,0.15,1,MECH-ACTUATOR
SM-FEEDER-POINT,SMELTER,FEEDER,ALUMINA POINT,EA,2100,4800,75,150,occasional,21,A,Hencon|Outotec,none,POT,6,,0.05,1,SMELT-HANDLING
SM-PTA-JAW,SMELTER,JAW,POT TENDING ASSEMBLY,EA,3200,7400,90,160,lumpy,18,A,Hencon|NKM Noell,none,PTA_CRANE,5,7.0,0.0,1,SMELT-HANDLING
SM-ANODE-COVER,SMELTER,COVER,ANODE ALUMINA,EA,90,240,30,60,consumable,11,C,Hencon|generic,od_mm,POT,5,,0.1,1,SMELT-CARBON
SM-RECT-THYRISTOR,SMELTER,THYRISTOR,RECTIFIER,EA,7800,18000,120,240,lumpy,21,A,ABB|Infineon|Mitsubishi Electric,none,RECTIFIER,2,11.0,0.05,1,ELEC-POWER
SM-RECT-DIODE,SMELTER,DIODE,RECTIFIER,EA,3400,8200,110,210,lumpy,21,A,ABB|Infineon|Semikron,none,RECTIFIER,2,10.0,0.05,1,ELEC-POWER
SM-POT-SHELL-PLATE,SMELTER,PLATE,POT SHELL STEEL,EA,2600,6200,120,220,insurance,18,B,Outotec|generic,od_mm,POT,12,20.0,0.0,1,SMELT-LINING
RF-DIGEST-VALVE,REFINERY,VALVE,BALL DIGESTER HIGH PRESSURE,EA,6400,17000,120,240,lumpy,34,A,Metso|Flowserve|Emerson,dn,DIGESTER,8,8.0,0.05,1,MECH-VALVE
RF-KNIFE-GATE,REFINERY,VALVE,KNIFE GATE SLURRY,EA,2100,6800,90,180,occasional,38,B,Metso|Weir|Flowserve,dn,SLURRY_PUMP,6,,0.2,1,MECH-VALVE
RF-PINCH-VALVE,REFINERY,VALVE,PINCH SLURRY,EA,1800,5200,90,170,occasional,26,B,Weir|Larox,dn,SLURRY_PUMP,5,,0.2,1,MECH-VALVE
RF-RELIEF-VALVE,REFINERY,VALVE,PRESSURE RELIEF,EA,3200,9400,110,200,lumpy,24,A,Emerson|Leser|Flowserve,dn,DIGESTER,4,10.0,0.15,1,MECH-VALVE
RF-SLURRY-CASING,REFINERY,CASING,SLURRY PUMP,EA,8600,24000,150,270,lumpy,26,A,Weir|Metso,none,SLURRY_PUMP,7,6.0,0.05,1,MECH-PUMP
RF-SLURRY-IMPELLER,REFINERY,IMPELLER,SLURRY PUMP,EA,4200,13000,120,220,occasional,33,A,Weir|Metso,od_mm,SLURRY_PUMP,7,,0.1,1,MECH-PUMP
RF-PUMP-LINER,REFINERY,LINER,SLURRY PUMP THROAT,EA,2600,7800,110,200,occasional,28,B,Weir|Metso,od_mm,SLURRY_PUMP,6,,0.1,1,MECH-PUMP
RF-PIPE-LINER,REFINERY,LINER,PIPE RUBBER,M,340,980,60,140,consumable,18,B,Weir|Trelleborg,dn,SLURRY_PUMP,6,,0.15,1,MECH-PIPING
RF-PIPE-SPOOL,REFINERY,SPOOL,PIPE WEAR RESISTANT,EA,1800,6400,90,180,occasional,31,B,Weir|generic,dn,SLURRY_PUMP,6,,0.1,1,MECH-PIPING
RF-FILTER-CLOTH,REFINERY,CLOTH,FILTER POLYPROPYLENE,M2,180,520,45,110,consumable,20,B,Outotec|Sefar,none,FILTER_PRESS,8,,0.1,1,MECH-FILTRATION
RF-HX-TUBE,REFINERY,TUBE,HEAT EXCHANGER,EA,420,1400,90,180,occasional,40,B,Alfa Laval|Kelvion,od_mm,HEAT_EXCHANGER,9,,0.1,1,MECH-THERMAL
RF-HX-GASKET,REFINERY,GASKET,HEAT EXCHANGER PLATE,EA,140,480,45,110,consumable,22,C,Alfa Laval|Kelvion|Flexitallic,dn,HEAT_EXCHANGER,9,,0.25,1,MECH-SEALING
RF-MECH-SEAL,REFINERY,SEAL,MECHANICAL CAUSTIC SERVICE,EA,1900,6200,75,160,occasional,40,A,John Crane|EagleBurgmann|Flowserve,od_mm,SLURRY_PUMP,6,,0.3,1,MECH-SEALING
RF-SPIRAL-GASKET,REFINERY,GASKET,SPIRAL WOUND,EA,60,320,30,75,consumable,31,C,Flexitallic|Garlock|Klinger,dn,DIGESTER,4,,0.35,1,MECH-SEALING
RF-PUMP-PACKING,REFINERY,PACKING,PUMP GLAND CAUSTIC,M,90,280,40,90,consumable,17,C,Garlock|Chesterton,od_mm,SLURRY_PUMP,4,,0.3,1,MECH-SEALING
RF-AGITATOR-SHAFT,REFINERY,SHAFT,AGITATOR,EA,14000,38000,180,300,insurance,18,A,Ekato|Chemineer,od_mm,PRECIPITATOR,3,16.0,0.0,1,MECH-ROTATING
RF-AGITATOR-BLADE,REFINERY,BLADE,AGITATOR,EA,3400,9800,120,220,lumpy,24,B,Ekato|Chemineer,od_mm,PRECIPITATOR,6,7.0,0.05,1,MECH-ROTATING
RF-RAKE-ARM,REFINERY,ARM,THICKENER RAKE,EA,18000,46000,180,320,insurance,16,A,Outotec|FLSmidth,none,THICKENER,4,20.0,0.0,1,MECH-ROTATING
RF-FLASH-LINER,REFINERY,LINER,FLASH TANK,EA,4200,12000,150,260,lumpy,18,B,Outotec|generic,dn,DIGESTER,10,9.0,0.0,1,MECH-PIPING
RF-SEED-PUMP,REFINERY,PUMP,PRECIPITATOR SEED,EA,22000,58000,180,300,insurance,16,A,Weir|Flowserve,none,PRECIPITATOR,3,14.0,0.05,1,MECH-PUMP
RL-WORK-ROLL,ROLLING,ROLL,WORK MILL,EA,86000,190000,210,360,lumpy,24,A,Danieli|SMS group|Akers,od_mm,MILL_STAND,4,5.0,0.0,1,ROLL-ROLLS
RL-BACKUP-ROLL,ROLLING,ROLL,BACKUP MILL,EA,240000,520000,270,420,insurance,14,A,Danieli|SMS group|Akers,od_mm,MILL_STAND,3,15.0,0.0,1,ROLL-ROLLS
RL-ROLL-CHOCK,ROLLING,CHOCK,ROLL,EA,18000,48000,180,300,lumpy,16,A,Danieli|SMS group,od_mm,MILL_STAND,4,10.0,0.0,1,ROLL-ROLLS
RL-ROLLNECK-BRG,ROLLING,BEARING,ROLL NECK,EA,26000,72000,180,300,lumpy,18,A,SKF|Timken|FAG,bore_mm,MILL_STAND,4,8.0,0.05,1,MECH-BEARING
RL-SHEAR-BLADE,ROLLING,BLADE,SHEAR,EA,3800,11000,90,180,occasional,23,B,Danieli|SMS group,od_mm,SHEAR_LINE,5,,0.05,1,ROLL-TOOLING
RL-COILER-SEG,ROLLING,SEGMENT,COILER MANDREL,EA,6200,17000,120,220,occasional,19,B,Danieli|SMS group,od_mm,COILER,5,,0.0,1,ROLL-TOOLING
RL-AGC-CYLINDER,ROLLING,CYLINDER,HYDRAULIC AGC,EA,32000,86000,180,300,insurance,16,A,Bosch Rexroth|Parker,od_mm,MILL_STAND,3,16.0,0.0,1,MECH-ACTUATOR
RL-HYD-VALVE,ROLLING,VALVE,SERVO HYDRAULIC,EA,4800,14000,90,180,occasional,31,A,Moog|Bosch Rexroth|Parker,dn,HYDRAULIC_POWER_UNIT,5,,0.2,1,MECH-ACTUATOR
RL-HYD-HOSE,ROLLING,HOSE,HYDRAULIC HIGH PRESSURE,EA,220,860,30,75,consumable,24,C,Parker|Gates|Eaton,dn,HYDRAULIC_POWER_UNIT,4,,0.35,1,MECH-ACTUATOR
RL-EMULSION-FILT,ROLLING,ELEMENT,FILTER EMULSION,EA,180,620,30,70,consumable,21,B,Pall|Hydac|Parker,od_mm,EMULSION_PLANT,5,,0.25,1,MECH-FILTRATION
RL-EMULSION-PUMP,ROLLING,PUMP,EMULSION CIRCULATION,EA,14000,38000,150,260,lumpy,16,B,Grundfos|KSB|Flowserve,kw,EMULSION_PLANT,4,9.0,0.05,1,MECH-PUMP
RL-STRIP-ROLLER,ROLLING,ROLLER,STRIP GUIDE,EA,2400,7600,90,170,occasional,28,B,Danieli|SMS group,od_mm,COILER,5,,0.05,1,ROLL-TOOLING
RL-REEL-BELT,ROLLING,BELT,TENSION REEL,EA,1400,4200,60,130,occasional,19,B,Habasit|Forbo,od_mm,COILER,4,,0.1,1,MECH-DRIVE
RL-GRIND-WHEEL,ROLLING,WHEEL,ROLL GRINDING,EA,2800,8400,75,150,consumable,11,B,Norton|Tyrolit,od_mm,ROLL_SHOP,3,,0.05,1,ROLL-TOOLING
MN-HAUL-TYRE,MINE,TYRE,HAUL TRUCK OTR,EA,42000,96000,120,240,occasional,21,A,Bridgestone|Michelin|Goodyear,rim_in,HAUL_TRUCK,2,,0.1,1,MOBILE-TYRE
MN-BUCKET-TOOTH,MINE,TOOTH,BUCKET GET,EA,680,2100,45,110,consumable,18,B,ESCO|Caterpillar|Hensley,none,SHOVEL,2,,0.15,1,MOBILE-GET
MN-GET-ADAPTER,MINE,ADAPTER,GET,EA,1200,3600,60,130,consumable,14,B,ESCO|Caterpillar,none,SHOVEL,2,,0.15,1,MOBILE-GET
MN-CRUSHER-MANTLE,MINE,MANTLE,CRUSHER,EA,58000,140000,180,300,lumpy,13,A,Metso|Sandvik|FLSmidth,none,CRUSHER,6,6.0,0.0,1,MINE-CRUSHING
MN-CRUSHER-CONCAVE,MINE,CONCAVE,CRUSHER,EA,44000,110000,180,300,lumpy,13,A,Metso|Sandvik|FLSmidth,none,CRUSHER,6,6.0,0.0,1,MINE-CRUSHING
MN-IDLER-ROLLER,MINE,ROLLER,CONVEYOR IDLER,EA,240,780,45,100,consumable,25,C,Rulmeca|Precismeca|Sandvik,od_mm,CONVEYOR,4,,0.3,1,MECH-CONVEYING
MN-CONV-BELT,MINE,BELT,CONVEYOR SECTION,M,680,2400,90,180,lumpy,29,A,ContiTech|Fenner Dunlop|Bridgestone,od_mm,CONVEYOR,8,7.0,0.1,1,MECH-CONVEYING
MN-PULLEY-LAG,MINE,LAGGING,CONVEYOR PULLEY,M2,420,1300,75,150,occasional,21,B,Flexco|Trelleborg,none,CONVEYOR,6,,0.15,1,MECH-CONVEYING
MN-SCREEN-PANEL,MINE,PANEL,SCREEN POLYURETHANE,EA,320,980,60,120,consumable,18,B,Metso|Weir|Sandvik,od_mm,SCREEN,4,,0.15,1,MINE-SCREENING
MN-DRILL-BIT,MINE,BIT,DRILL ROTARY,EA,3400,9200,60,130,consumable,13,B,Sandvik|Epiroc|Boart Longyear,od_mm,DRILL_RIG,2,,0.1,1,MINE-DRILLING
MN-DRILL-ROD,MINE,ROD,DRILL,EA,2200,6400,75,150,occasional,19,B,Sandvik|Epiroc,od_mm,DRILL_RIG,2,,0.1,1,MINE-DRILLING
MN-SUSP-CYLINDER,MINE,CYLINDER,SUSPENSION HAUL TRUCK,EA,26000,64000,150,270,lumpy,16,A,Caterpillar|Komatsu,od_mm,HAUL_TRUCK,2,8.0,0.05,1,MOBILE-DRIVETRAIN
MN-FINAL-DRIVE,MINE,ASSEMBLY,FINAL DRIVE,EA,180000,420000,240,400,insurance,11,A,Caterpillar|Komatsu,none,HAUL_TRUCK,2,17.0,0.0,1,MOBILE-DRIVETRAIN
MN-WEAR-PLATE,MINE,PLATE,WEAR CHUTE,EA,860,2800,60,130,consumable,15,C,SSAB|Hardox|Metso,od_mm,CONVEYOR,5,,0.2,1,MECH-CONVEYING
RA-WHEELSET,RAIL,WHEELSET,WAGON,EA,32000,74000,180,300,lumpy,16,A,Lucchini|Amsted Rail,od_mm,WAGON,3,9.0,0.0,1,RAIL-RUNNING
RA-BRAKE-SHOE,RAIL,SHOE,BRAKE WAGON,EA,180,560,45,100,consumable,15,B,Knorr-Bremse|Wabtec,none,WAGON,3,,0.15,1,RAIL-RUNNING
RA-COUPLER,RAIL,KNUCKLE,COUPLER,EA,2400,6800,90,180,occasional,19,B,Amsted Rail|Wabtec,none,WAGON,3,,0.1,1,RAIL-RUNNING
RA-AXLE-BRG,RAIL,BEARING,AXLE RAILWAY,EA,3200,8600,110,200,occasional,21,A,SKF|Timken|NSK,bore_mm,WAGON,3,,0.1,1,MECH-BEARING
RA-DOOR-CYL,RAIL,CYLINDER,WAGON DOOR,EA,1800,5200,90,170,occasional,16,B,Parker|Bosch Rexroth,od_mm,WAGON,3,,0.1,1,MECH-ACTUATOR
EL-TRANSFORMER,SITEWIDE,TRANSFORMER,POWER OIL FILLED,EA,680000,2400000,300,540,insurance,11,A,Hitachi Energy|Siemens Energy|ABB,mva,TRANSFORMER,2,28.0,0.0,1,ELEC-POWER
EL-TX-BUSHING,SITEWIDE,BUSHING,TRANSFORMER HV,EA,34000,92000,180,320,insurance,21,A,Hitachi Energy|Siemens Energy,kw,TRANSFORMER,2,17.0,0.0,1,ELEC-POWER
EL-MV-PANEL,SITEWIDE,PANEL,SWITCHGEAR MEDIUM VOLTAGE,EA,86000,240000,210,360,insurance,16,A,ABB|Siemens|Schneider Electric,kw,SWITCHGEAR,2,20.0,0.0,1,ELEC-DISTRIBUTION
EL-MV-BREAKER,SITEWIDE,BREAKER,CIRCUIT MEDIUM VOLTAGE,EA,28000,78000,150,280,lumpy,18,A,ABB|Siemens|Schneider Electric,kw,SWITCHGEAR,2,12.0,0.1,1,ELEC-DISTRIBUTION
EL-VFD-MODULE,SITEWIDE,MODULE,DRIVE VARIABLE FREQUENCY,EA,18000,52000,120,240,lumpy,26,A,ABB|Siemens|Danfoss,kw,MOTOR_DRIVE,2,9.0,0.15,1,ELEC-DRIVE
EL-MOTOR-LV,SITEWIDE,MOTOR,AC LOW VOLTAGE,EA,3200,14000,90,180,occasional,38,B,ABB|WEG|Siemens,kw,MOTOR_DRIVE,3,,0.3,1,ELEC-DRIVE
EL-MOTOR-MV,SITEWIDE,MOTOR,AC MEDIUM VOLTAGE,EA,120000,380000,240,420,insurance,18,A,ABB|WEG|Siemens,kw,MOTOR_DRIVE,2,18.0,0.05,1,ELEC-DRIVE
EL-CABLE-MV,SITEWIDE,CABLE,POWER MEDIUM VOLTAGE,M,180,640,90,180,occasional,23,B,Prysmian|Nexans|Riyadh Cables,od_mm,SWITCHGEAR,3,,0.25,1,ELEC-DISTRIBUTION
EL-CABLE-GLAND,SITEWIDE,GLAND,CABLE,EA,24,120,20,55,consumable,22,C,CMP|Hawke|Pepperl+Fuchs,dn,SWITCHGEAR,2,,0.4,1,ELEC-DISTRIBUTION
EL-RELAY-PROT,SITEWIDE,RELAY,PROTECTION NUMERICAL,EA,6800,19000,110,200,lumpy,24,A,ABB|Siemens|SEL,none,SWITCHGEAR,2,11.0,0.15,1,ELEC-DISTRIBUTION
EL-UPS-BATTERY,SITEWIDE,BATTERY,UPS,EA,780,2600,60,130,consumable,14,B,EnerSys|Exide|Vision,ah,SWITCHGEAR,2,,0.25,1,ELEC-DISTRIBUTION
RT-BEARING-BALL,SITEWIDE,BEARING,BALL,EA,60,680,30,80,consumable,31,C,SKF|FAG|NSK|Timken,bore_mm,UTILITY_PUMP,3,,0.45,1,MECH-BEARING
RT-BEARING-SPHER,SITEWIDE,BEARING,ROLLER SPHERICAL,EA,340,2600,45,110,consumable,27,B,SKF|FAG|NSK|Timken,bore_mm,UTILITY_PUMP,3,,0.4,1,MECH-BEARING
RT-GEARBOX,SITEWIDE,GEARBOX,HELICAL,EA,16000,64000,150,270,lumpy,26,A,SEW-Eurodrive|Flender|Nord,kw,MOTOR_DRIVE,3,10.0,0.15,1,MECH-DRIVE
RT-GEARBOX-SEAL,SITEWIDE,KIT,SEAL GEARBOX,EA,220,960,45,100,consumable,18,C,SEW-Eurodrive|Flender|Trelleborg,bore_mm,MOTOR_DRIVE,3,,0.35,1,MECH-SEALING
RT-COUPLING,SITEWIDE,ELEMENT,COUPLING FLEXIBLE,EA,180,860,40,95,consumable,21,C,Rexnord|KTR|Flender,od_mm,MOTOR_DRIVE,3,,0.4,1,MECH-DRIVE
RT-VBELT,SITEWIDE,BELT,V DRIVE,EA,45,220,25,60,consumable,18,C,Gates|Optibelt|Continental,od_mm,UTILITY_PUMP,2,,0.4,1,MECH-DRIVE
RT-CHAIN-ROLLER,SITEWIDE,CHAIN,ROLLER DRIVE,M,120,520,40,95,consumable,15,C,Renold|Tsubaki,dn,MECH_GENERIC,3,,0.35,1,MECH-DRIVE
RT-PUMP-CENTRIF,SITEWIDE,PUMP,CENTRIFUGAL,EA,6400,26000,120,220,occasional,35,B,KSB|Grundfos|Flowserve,kw,UTILITY_PUMP,4,,0.25,1,MECH-PUMP
RT-PUMP-SEAL-KIT,SITEWIDE,KIT,SEAL PUMP,EA,280,1200,45,105,consumable,21,C,John Crane|EagleBurgmann,bore_mm,UTILITY_PUMP,4,,0.4,1,MECH-SEALING
RT-ORING,SITEWIDE,RING,O SEALING,EA,4,48,20,50,consumable,34,C,Trelleborg|Parker|Freudenberg,od_mm,UTILITY_PUMP,2,,0.5,1,MECH-SEALING
RT-OIL-SEAL,SITEWIDE,SEAL,OIL ROTARY SHAFT,EA,28,180,25,60,consumable,28,C,Freudenberg|SKF|Trelleborg,bore_mm,UTILITY_PUMP,2,,0.45,1,MECH-SEALING
IN-PRESS-TX,SITEWIDE,TRANSMITTER,PRESSURE,EA,1800,6200,60,130,occasional,35,B,Emerson|Endress+Hauser|Yokogawa,dn,INSTRUMENT_LOOP,3,,0.3,1,INST-FIELD
IN-RTD,SITEWIDE,SENSOR,TEMPERATURE RTD,EA,320,1400,45,100,consumable,20,B,Endress+Hauser|WIKA|Emerson,od_mm,INSTRUMENT_LOOP,3,,0.35,1,INST-FIELD
IN-THERMOCOUPLE,SITEWIDE,THERMOCOUPLE,TYPE K HIGH TEMPERATURE,EA,280,1200,45,100,consumable,20,B,WIKA|Endress+Hauser,od_mm,INSTRUMENT_LOOP,4,,0.35,1,INST-FIELD
IN-FLOWMETER,SITEWIDE,METER,FLOW MAGNETIC,EA,4200,14000,90,180,occasional,26,B,Endress+Hauser|Emerson|Yokogawa,dn,INSTRUMENT_LOOP,3,,0.2,1,INST-FIELD
IN-PLC-IO,SITEWIDE,MODULE,PLC INPUT OUTPUT,EA,2400,9600,75,160,occasional,31,A,Siemens|Rockwell Automation|ABB,none,INSTRUMENT_LOOP,2,,0.3,1,INST-CONTROL
IN-LIMIT-SWITCH,SITEWIDE,SWITCH,LIMIT,EA,120,540,30,75,consumable,21,C,Pepperl+Fuchs|Schneider Electric|Omron,dn,INSTRUMENT_LOOP,2,,0.4,1,INST-FIELD
CN-GEAR-OIL,SITEWIDE,OIL,GEAR LUBRICATING,L,22,68,25,60,consumable,10,C,Shell|Mobil|Castrol,iso_vg,MOTOR_DRIVE,3,,0.4,1,CONS-LUBRICANT
CN-GREASE,SITEWIDE,GREASE,EP2 LITHIUM,KG,28,86,25,60,consumable,10,C,Shell|Mobil|SKF,none,MECH_GENERIC,3,,0.45,1,CONS-LUBRICANT
CN-HYD-OIL,SITEWIDE,OIL,HYDRAULIC,L,18,54,25,60,consumable,10,C,Shell|Mobil|Castrol,iso_vg,HYDRAULIC_POWER_UNIT,3,,0.4,1,CONS-LUBRICANT
CN-WELD-ELECTRODE,SITEWIDE,ELECTRODE,WELDING,KG,32,140,30,70,consumable,13,C,ESAB|Lincoln Electric|Bohler,od_mm,MECH_GENERIC,4,,0.35,1,CONS-WORKSHOP
CN-BOLT-HEX,SITEWIDE,BOLT,HEXAGON STAINLESS,EA,3,42,20,50,consumable,31,C,Unbrako|Bossard|generic,m_thread,MECH_GENERIC,3,,0.5,1,CONS-FASTENER
CN-NUT-HEX,SITEWIDE,NUT,HEXAGON STAINLESS,EA,2,18,20,50,consumable,22,C,Unbrako|Bossard|generic,m_thread,MECH_GENERIC,3,,0.5,1,CONS-FASTENER
CN-WASHER,SITEWIDE,WASHER,FLAT STAINLESS,EA,1,9,20,50,consumable,18,C,Bossard|generic,m_thread,MECH_GENERIC,3,,0.5,1,CONS-FASTENER
CN-GASKET-SHEET,SITEWIDE,SHEET,GASKET NON ASBESTOS,M2,120,420,30,75,consumable,14,C,Klinger|Garlock,none,MECH_GENERIC,4,,0.35,1,MECH-SEALING
CN-GLOVE,SITEWIDE,GLOVE,PROTECTIVE HEAT RESISTANT,PR,28,140,25,60,consumable,14,C,Ansell|Honeywell|3M,none,GENERIC,2,,0.45,1,CONS-PPE
CN-RESP-FILTER,SITEWIDE,FILTER,RESPIRATOR CARTRIDGE,EA,32,120,30,70,consumable,13,C,3M|Honeywell|Drager,none,GENERIC,2,,0.45,1,CONS-PPE
CN-SOLVENT,SITEWIDE,SOLVENT,CLEANING INDUSTRIAL,L,24,78,25,60,consumable,10,C,CRC|Chesterton,none,GENERIC,2,,0.35,1,CONS-WORKSHOP
CH-CAUSTIC,REFINERY,SODA,CAUSTIC LIQUID,T,1400,2600,30,75,consumable,10,A,Sabic|Tasnee,none,DIGESTER,1,,0.0,0,PROC-CHEMICAL
CH-FLOCCULANT,REFINERY,FLOCCULANT,POLYMER,KG,32,96,45,100,consumable,10,B,SNF|Kemira|BASF,none,THICKENER,1,,0.0,0,PROC-CHEMICAL
CH-LIME,REFINERY,LIME,BURNT,T,420,860,30,70,consumable,10,B,Carmeuse|Lhoist,none,DIGESTER,1,,0.0,0,PROC-CHEMICAL
CH-ALF3,SMELTER,FLUORIDE,ALUMINIUM,T,4800,9200,60,130,consumable,10,A,Fluorsid|Rio Tinto Alcan,none,POT,1,,0.0,0,PROC-CHEMICAL
CH-CRYOLITE,SMELTER,CRYOLITE,SYNTHETIC,T,3200,7400,60,130,consumable,10,B,Fluorsid|Solvay,none,POT,1,,0.0,0,PROC-CHEMICAL
